PREDICTION RESULTS
=================

Sample 0: Ground Truth: sadness, Predicted: sadness
Sample 1: Ground Truth: surprise, Predicted: disgust
Sample 2: Ground Truth: anger, Predicted: joy
Sample 3: Ground Truth: neutral, Predicted: sadness
Sample 4: Ground Truth: neutral, Predicted: disgust
Sample 5: Ground Truth: neutral, Predicted: fear
Sample 6: Ground Truth: neutral, Predicted: neutral
Sample 7: Ground Truth: fear, Predicted: neutral
Sample 8: Ground Truth: neutral, Predicted: sadness
Sample 9: Ground Truth: neutral, Predicted: anger
Sample 10: Ground Truth: joy, Predicted: neutral
Sample 11: Ground Truth: surprise, Predicted: anger
Sample 12: Ground Truth: neutral, Predicted: neutral
Sample 13: Ground Truth: surprise, Predicted: joy
Sample 14: Ground Truth: neutral, Predicted: sadness
Sample 15: Ground Truth: joy, Predicted: joy
Sample 16: Ground Truth: neutral, Predicted: anger
Sample 17: Ground Truth: disgust, Predicted: disgust
Sample 18: Ground Truth: fear, Predicted: anger
Sample 19: Ground Truth: fear, Predicted: fear
Sample 20: Ground Truth: disgust, Predicted: joy
Sample 21: Ground Truth: sadness, Predicted: sadness
Sample 22: Ground Truth: surprise, Predicted: surprise
Sample 23: Ground Truth: surprise, Predicted: neutral
Sample 24: Ground Truth: anger, Predicted: neutral
Sample 25: Ground Truth: fear, Predicted: neutral
Sample 26: Ground Truth: surprise, Predicted: joy
Sample 27: Ground Truth: joy, Predicted: anger
Sample 28: Ground Truth: joy, Predicted: anger
Sample 29: Ground Truth: sadness, Predicted: joy
Sample 30: Ground Truth: joy, Predicted: joy
Sample 31: Ground Truth: neutral, Predicted: neutral
Sample 32: Ground Truth: joy, Predicted: joy
Sample 33: Ground Truth: neutral, Predicted: joy
Sample 34: Ground Truth: neutral, Predicted: neutral
Sample 35: Ground Truth: disgust, Predicted: disgust
Sample 36: Ground Truth: sadness, Predicted: neutral
Sample 37: Ground Truth: anger, Predicted: anger
Sample 38: Ground Truth: anger, Predicted: fear
Sample 39: Ground Truth: joy, Predicted: joy
Sample 40: Ground Truth: disgust, Predicted: anger
Sample 41: Ground Truth: neutral, Predicted: joy
Sample 42: Ground Truth: fear, Predicted: joy
Sample 43: Ground Truth: fear, Predicted: sadness
